ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
1.000000000000000000e+00,0.000000000000000000e+00,-7.313657000000000101e-04,-3.303151721613134750e+00,-1.290050944587417980e+00,2.453480800954768448e-01,1.287984575772674001e+00,1.286044406251148686e+00,1.283327201896655057e+00,1.279413888599854943e+00,1.273384268907094663e+00,1.263092332172796040e+00,1.242217995814109521e+00,1.183320700243682522e+00,-5.462148155322535219e-03,1.216807098999517001e+00,-2.900441057867286232e-01,-1.233424273330250065e+00,-1.274582718556944494e+00,-1.282269954579791760e+00,-1.285409990591260820e+00,-1.287522325333577689e+00,-1.289339566086329825e+00,-1.291055851084646600e+00,-1.292843282758596946e+00
